"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","50306  >  443 [RST, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=69549754 TSecr=2126813086"
"2","0.000306675","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","4080","Application Data"
"3","0.003877197","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","226","Application Data"
"4","0.009784975","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  33660 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=4121475844 TSecr=4014273652"
"5","0.009786861","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  33660 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=4121475844 TSecr=4014273652"
"6","0.009787839","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  33660 [ACK] Seq=1 Ack=3995 Win=501 Len=0 TSval=4121475844 TSecr=4014273652"
"7","0.010346294","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  33660 [ACK] Seq=1 Ack=4135 Win=501 Len=0 TSval=4121475845 TSecr=4014273656"
"8","0.210328497","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3055","Application Data"
"9","0.212803621","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","152","Application Data"
"10","0.219520376","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=1429 Win=955 Len=0 TSval=2360807755 TSecr=4014273862"
"11","0.219521773","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=2970 Win=952 Len=0 TSval=2360807755 TSecr=4014273862"
"12","0.219522751","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=3036 Win=960 Len=0 TSval=2360807756 TSecr=4014273865"
"13","0.245230049","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","2942","443  >  33660 [ACK] Seq=1 Ack=4135 Win=501 Len=2856 TSval=4121476080 TSecr=4014273656 [TCP segment of a reassembled PDU]"
"14","0.245270906","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [ACK] Seq=4135 Ack=2857 Win=479 Len=0 TSval=4014273897 TSecr=4121476080"
"15","0.245516959","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","1514","443  >  33660 [PSH, ACK] Seq=2857 Ack=4135 Win=501 Len=1428 TSval=4121476080 TSecr=4014273656 [TCP segment of a reassembled PDU]"
"16","0.245517867","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1252","Application Data"
"17","0.245537423","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [ACK] Seq=4135 Ack=4285 Win=493 Len=0 TSval=4014273897 TSecr=4121476080"
"18","0.245558375","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [ACK] Seq=4135 Ack=5451 Win=484 Len=0 TSval=4014273897 TSecr=4121476080"
"19","0.596752676","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","967","Application Data"
"20","0.639783394","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=3036 Ack=882 Win=6689 Len=0 TSval=4014274292 TSecr=2360808127"
"21","2.085631414","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3051","Application Data"
"22","2.088698237","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","308","Application Data"
"23","2.094990983","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=882 Ack=4464 Win=955 Len=0 TSval=2360809631 TSecr=4014275738"
"24","2.094991891","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=882 Ack=6001 Win=945 Len=0 TSval=2360809631 TSecr=4014275738"
"25","2.095598467","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=882 Ack=6223 Win=960 Len=0 TSval=2360809632 TSecr=4014275741"
"26","3.312586517","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1280","Application Data"
"27","3.312653006","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=6223 Ack=2076 Win=6709 Len=0 TSval=4014276965 TSecr=2360810810"
"28","3.325972186","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3050","Application Data"
"29","3.326594755","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","152","Application Data"
"30","3.332705424","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2076 Ack=7651 Win=955 Len=0 TSval=2360810869 TSecr=4014276978"
"31","3.332706820","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2076 Ack=9079 Win=955 Len=0 TSval=2360810869 TSecr=4014276978"
"32","3.332707798","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2076 Ack=9187 Win=960 Len=0 TSval=2360810869 TSecr=4014276978"
"33","3.333425283","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2076 Ack=9253 Win=960 Len=0 TSval=2360810869 TSecr=4014276979"
"34","4.670517894","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","967","Application Data"
"35","4.673873583","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","128","Application Data"
"36","4.682630277","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2957 Ack=9295 Win=960 Len=0 TSval=2360812217 TSecr=4014278326"
"37","5.418498801","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3052","Application Data"
"38","5.421151602","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","308","Application Data"
"39","5.427152129","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2957 Ack=10723 Win=955 Len=0 TSval=2360812963 TSecr=4014279070"
"40","5.427153037","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2957 Ack=12151 Win=947 Len=0 TSval=2360812964 TSecr=4014279070"
"41","5.427154434","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2957 Ack=12261 Win=960 Len=0 TSval=2360812964 TSecr=4014279070"
"42","5.427699479","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=2957 Ack=12483 Win=960 Len=0 TSval=2360812964 TSecr=4014279073"
"43","5.719935082","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3032","Application Data"
"44","5.720058004","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","6163","Application Data, Application Data"
"45","5.728677948","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363960369 TSecr=2862155722"
"46","5.728678926","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2947 Win=2633 Len=0 TSval=1363960369 TSecr=2862155722"
"47","5.728680393","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4375 Win=2643 Len=0 TSval=1363960369 TSecr=2862155722"
"48","5.728681371","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5803 Win=2635 Len=0 TSval=1363960369 TSecr=2862155722"
"49","5.728784178","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","125","Application Data"
"50","5.728785155","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=40 Ack=8659 Win=2643 Len=0 TSval=1363960370 TSecr=2862155722"
"51","5.769917503","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=40 Ack=9024 Win=2647 Len=0 TSval=1363960411 TSecr=2862155722"
"52","5.769956545","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=9024 Ack=40 Win=2425 Len=0 TSval=2862155772 TSecr=1363960369"
"53","5.923932631","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","679","Application Data"
"54","5.926464885","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"55","5.933546913","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=633 Ack=9059 Win=2647 Len=0 TSval=1363960574 TSecr=2862155928"
"56","7.047791745","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","5108","Application Data"
"57","7.056985020","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=833365 TSecr=69556802"
"58","7.056985998","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=833365 TSecr=69556802"
"59","7.056986976","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=5023 Win=499 Len=0 TSval=833365 TSecr=69556802"
"60","7.103895240","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1324","Application Data"
"61","7.113196281","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3053","Application Data"
"62","7.114522787","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","152","Application Data"
"63","7.120713005","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=4195 Ack=15450 Win=945 Len=0 TSval=2360814657 TSecr=4014280765"
"64","7.121296254","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=4195 Ack=15516 Win=960 Len=0 TSval=2360814658 TSecr=4014280766"
"65","7.385975287","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1260","Application Data"
"66","7.392071358","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","3998","Application Data"
"67","7.399073138","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=6451 Win=501 Len=0 TSval=833707 TSecr=69557146"
"68","7.399078726","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=8935 Win=498 Len=0 TSval=833707 TSecr=69557146"
"69","8.012640995","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","412","[TCP Previous segment not captured] , Ignored Unknown Record"
"70","8.012642392","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","1514","[TCP Out-Of-Order] 443  >  40566 [ACK] Seq=1175 Ack=8935 Win=501 Len=1428 TSval=834021 TSecr=69557146"
"71","8.012643858","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","412","[TCP Retransmission] 443  >  40566 [PSH, ACK] Seq=2603 Ack=8935 Win=501 Len=326 TSval=834138 TSecr=69557146"
