"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2620:149:208:430e::1d","TCP","86","54802  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=829233336 TSecr=3627479489"
"2","0.308822122","2620:149:208:430e::1d","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","[TCP ACKed unseen segment] 443  >  54802 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3627524896 TSecr=829142372"
"3","0.339055587","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","5108","Application Data"
"4","0.345841486","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=772733 TSecr=69496173"
"5","0.345842394","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=772733 TSecr=69496173"
"6","0.345843372","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=5023 Win=499 Len=0 TSval=772733 TSecr=69496173"
"7","0.726705909","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1260","Application Data"
"8","0.726747046","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","40566  >  443 [ACK] Seq=5023 Ack=1175 Win=694 Len=0 TSval=69496560 TSecr=773054"
"9","0.731612714","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","3998","Application Data"
"10","0.738874515","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=6451 Win=501 Len=0 TSval=773126 TSecr=69496565"
"11","0.738875492","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=7879 Win=501 Len=0 TSval=773126 TSecr=69496565"
"12","0.738876470","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=8935 Win=501 Len=0 TSval=773126 TSecr=69496565"
"13","1.144079571","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","2513","Application Data"
"14","1.144118613","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","40566  >  443 [ACK] Seq=8935 Ack=3602 Win=732 Len=0 TSval=69496978 TSecr=773444"
"15","1.179016044","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3053","Application Data"
"16","1.179642175","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","136","Application Data"
"17","1.186364239","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=1429 Win=955 Len=0 TSval=2360754801 TSecr=4014220911"
"18","1.186365217","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=2968 Win=952 Len=0 TSval=2360754802 TSecr=4014220911"
"19","1.186366194","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=3018 Win=960 Len=0 TSval=2360754802 TSecr=4014220911"
"20","1.353347102","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","961","Application Data"
"21","1.353390963","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=3018 Ack=876 Win=6569 Len=0 TSval=4014221085 TSecr=2360754960"
"22","1.355731990","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","128","Application Data"
"23","1.362424580","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=876 Ack=3060 Win=960 Len=0 TSval=2360754978 TSecr=4014221087"
"24","1.941869831","fe80::7873:cbf6:a56b:7b3b","ff02::2","ICMPv6","62","Router Solicitation"
"25","2.327794920","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3059","Application Data"
"26","2.330943737","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","195","Application Data"
"27","2.337218673","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=876 Ack=4488 Win=955 Len=0 TSval=2360755952 TSecr=4014222059"
"28","2.337219651","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=876 Ack=5916 Win=955 Len=0 TSval=2360755953 TSecr=4014222059"
"29","2.337221118","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=876 Ack=6033 Win=955 Len=0 TSval=2360755953 TSecr=4014222059"
"30","2.337417723","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=876 Ack=6142 Win=960 Len=0 TSval=2360755953 TSecr=4014222062"
"31","2.921902967","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1129","Application Data"
"32","2.921904434","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","124","Application Data"
"33","2.922155585","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=6142 Ack=1957 Win=6589 Len=0 TSval=4014222654 TSecr=2360756486"
"34","2.931721117","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3053","Application Data"
"35","2.932912269","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","162","Application Data"
"36","2.939691253","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1957 Ack=7570 Win=955 Len=0 TSval=2360756555 TSecr=4014222663"
"37","2.939692650","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1957 Ack=9109 Win=952 Len=0 TSval=2360756555 TSecr=4014222663"
"38","2.939694117","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1957 Ack=9185 Win=960 Len=0 TSval=2360756555 TSecr=4014222664"
"39","3.337941464","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","963","Application Data"
"40","3.380228436","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=9185 Ack=2834 Win=6589 Len=0 TSval=4014223112 TSecr=2360756855"
"41","3.641806424","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3034","Application Data"
"42","3.641940800","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","5926","Application Data"
"43","3.650775787","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363904371 TSecr=2862099723"
"44","3.650776695","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2857 Win=2635 Len=0 TSval=1363904371 TSecr=2862099723"
"45","3.650778092","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2949 Win=2635 Len=0 TSval=1363904371 TSecr=2862099723"
"46","3.650779558","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4377 Win=2626 Len=0 TSval=1363904371 TSecr=2862099723"
"47","3.650780466","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5805 Win=2643 Len=0 TSval=1363904371 TSecr=2862099723"
"48","3.650781444","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=7233 Win=2635 Len=0 TSval=1363904371 TSecr=2862099723"
"49","3.650782911","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=8789 Win=2625 Len=0 TSval=1363904371 TSecr=2862099723"
"50","4.069334665","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","716","Application Data"
"51","4.069336131","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","117","Application Data"
"52","4.069411491","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=8789 Ack=662 Win=2386 Len=0 TSval=2862100151 TSecr=1363904693"
"53","4.072642442","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"54","4.079508798","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=662 Ack=8824 Win=2647 Len=0 TSval=1363904800 TSecr=2862100154"
