"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3032","Application Data"
"2","0.000130255","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","7226","Application Data"
"3","0.000162242","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","2096","Application Data"
"4","0.009734060","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363816370 TSecr=2862011722"
"5","0.009735038","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2857 Win=2643 Len=0 TSval=1363816370 TSecr=2862011722"
"6","0.009736016","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2947 Win=2647 Len=0 TSval=1363816370 TSecr=2862011722"
"7","0.009736993","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4375 Win=2643 Len=0 TSval=1363816370 TSecr=2862011722"
"8","0.009737971","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5803 Win=2635 Len=0 TSval=1363816370 TSecr=2862011722"
"9","0.009739438","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=7231 Win=2643 Len=0 TSval=1363816370 TSecr=2862011722"
"10","0.009740346","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","125","Application Data"
"11","0.009818848","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=40 Ack=8659 Win=2643 Len=0 TSval=1363816370 TSecr=2862011722"
