"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3033","Application Data"
"2","0.003263148","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","2551","Application Data"
"3","0.009453646","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363888369 TSecr=2862083721"
"4","0.009454624","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2948 Win=2641 Len=0 TSval=1363888369 TSecr=2862083721"
"5","0.010840005","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4376 Win=2643 Len=0 TSval=1363888370 TSecr=2862083725"
"6","0.010841402","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5413 Win=2644 Len=0 TSval=1363888370 TSecr=2862083725"
"7","0.239710452","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","677","Application Data"
"8","0.242147023","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"9","0.249008630","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=592 Ack=5448 Win=2647 Len=0 TSval=1363888609 TSecr=2862083963"
"10","0.838733546","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","3905","Application Data"
"11","0.841292270","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","136","Application Data"
"12","0.847649759","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=760874 TSecr=69484312"
"13","0.847650737","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=760874 TSecr=69484312"
"14","0.847651714","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=3820 Win=501 Len=0 TSval=760875 TSecr=69484312"
"15","0.847919139","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=3870 Win=501 Len=0 TSval=760875 TSecr=69484315"
"16","1.030354499","192.168.166.19","130.104.1.1","DNS","91","Standard query 0x5d13 A p50-docws.icloud.com OPT"
"17","1.030514088","192.168.166.19","130.104.1.1","DNS","91","Standard query 0xc048 AAAA p50-docws.icloud.com OPT"
"18","1.033993606","130.104.1.1","192.168.166.19","DNS","160","Standard query response 0x5d13 A p50-docws.icloud.com CNAME docws.fe2.apple-dns.net A 17.248.236.65 A 17.248.236.68 OPT"
