"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3032","Application Data"
"2","0.000118732","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","5926","Application Data"
"3","0.010358796","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363784370 TSecr=2861979722"
"4","0.010359704","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2947 Win=2641 Len=0 TSval=1363784370 TSecr=2861979722"
"5","0.010361171","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4375 Win=2643 Len=0 TSval=1363784370 TSecr=2861979722"
"6","0.010362148","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5803 Win=2635 Len=0 TSval=1363784370 TSecr=2861979722"
"7","0.010363545","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=7231 Win=2643 Len=0 TSval=1363784370 TSecr=2861979722"
"8","0.010364523","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=8787 Win=2640 Len=0 TSval=1363784371 TSecr=2861979722"
"9","0.313404023","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","706","Application Data"
"10","0.315861896","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"11","0.322576765","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=621 Ack=8822 Win=2647 Len=0 TSval=1363784683 TSecr=2861980038"
"12","1.671600730","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2620:149:208:430e::1d","TCP","86","54802  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=829118648 TSecr=3627364800"
"13","1.984703875","2620:149:208:430e::1d","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","[TCP ACKed unseen segment] 443  >  54802 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3627410208 TSecr=826815747"
"14","7.321510755","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","4121","Application Data"
"15","7.323992583","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","169","Application Data"
"16","7.330189786","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=663358 TSecr=69386795"
"17","7.330190763","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=663358 TSecr=69386795"
"18","7.330192160","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=4036 Win=497 Len=0 TSval=663358 TSecr=69386795"
"19","7.330832121","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=4119 Win=501 Len=0 TSval=663358 TSecr=69386798"
"20","7.730130308","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","697","[TCP Previous segment not captured] , Ignored Unknown Record"
"21","7.730131774","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","1514","[TCP Out-Of-Order] 443  >  40566 [ACK] Seq=1 Ack=4119 Win=501 Len=1428 TSval=663661 TSecr=69386798"
"22","7.730187648","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","98","[TCP Dup ACK 14#1] 40566  >  443 [ACK] Seq=4119 Ack=1 Win=501 Len=0 TSval=69387204 TSecr=663358 SLE=1429 SRE=2040"
"23","7.730242264","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","40566  >  443 [ACK] Seq=4119 Ack=2040 Win=486 Len=0 TSval=69387204 TSecr=663661"
"24","7.733549133","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","697","[TCP Spurious Retransmission] 443  >  40566 [PSH, ACK] Seq=1429 Ack=4119 Win=501 Len=611 TSval=663761 TSecr=69386798"
"25","7.733586219","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","98","[TCP Window Update] 40566  >  443 [ACK] Seq=4119 Ack=2040 Win=501 Len=0 TSval=69387208 TSecr=663761 SLE=1429 SRE=2040"
"26","7.999403884","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3032","Application Data"
"27","8.002531260","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","1324","Application Data"
"28","8.008616017","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=621 Ack=10250 Win=2643 Len=0 TSval=1363792369 TSecr=2861987721"
"29","8.008617413","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=621 Ack=11678 Win=2635 Len=0 TSval=1363792369 TSecr=2861987721"
"30","8.008618391","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=621 Ack=11768 Win=2635 Len=0 TSval=1363792369 TSecr=2861987721"
"31","8.009547008","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=621 Ack=13006 Win=2644 Len=0 TSval=1363792370 TSecr=2861987724"
"32","8.251500220","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","706","Application Data"
"33","8.254007051","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"34","8.260608707","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1241 Ack=13041 Win=2647 Len=0 TSval=1363792621 TSecr=2861987976"
