"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [RST, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4014341384 TSecr=4121536137"
"2","0.000421844","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","4924","Application Data"
"3","0.008556039","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=2541604770 TSecr=2862217734"
"4","0.008557017","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=2541604770 TSecr=2862217734"
"5","0.008558483","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1 Ack=4839 Win=500 Len=0 TSval=2541604770 TSecr=2862217734"
"6","0.338706099","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1260","Application Data"
"7","0.338772169","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","48446  >  443 [ACK] Seq=4839 Ack=1175 Win=493 Len=0 TSval=2862218073 TSecr=2541605013"
"8","0.344875085","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3998","Application Data"
"9","0.351531497","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1175 Ack=6267 Win=501 Len=0 TSval=2541605113 TSecr=2862218079"
"10","0.351532474","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1175 Ack=7695 Win=501 Len=0 TSval=2541605113 TSecr=2862218079"
"11","0.351533452","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  48446 [ACK] Seq=1175 Ack=8751 Win=498 Len=0 TSval=2541605113 TSecr=2862218079"
"12","0.651753090","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","412","[TCP Previous segment not captured] , Ignored Unknown Record"
