"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","4370","443  >  33660 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=4284 TSval=4121452794 TSecr=4014250376 [TCP segment of a reassembled PDU]"
"2","0.000001396","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1252","Application Data"
"3","0.000046654","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [ACK] Seq=1 Ack=4285 Win=468 Len=0 TSval=4014250643 TSecr=4121452794"
"4","0.000081715","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","33660  >  443 [ACK] Seq=1 Ack=5451 Win=459 Len=0 TSval=4014250643 TSecr=4121452795"
"5","0.046871038","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1260","Application Data"
"6","0.053849421","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","3998","Application Data"
"7","0.060960573","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=1429 Win=501 Len=0 TSval=803360 TSecr=69526799"
"8","0.060962039","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=2857 Win=501 Len=0 TSval=803360 TSecr=69526799"
"9","0.060962947","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1175 Ack=3913 Win=501 Len=0 TSval=803360 TSecr=69526799"
"10","0.418349073","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1091","[TCP Previous segment not captured] , Ignored Unknown Record"
"11","0.418350469","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","1514","[TCP Out-Of-Order] 443  >  40566 [ACK] Seq=1175 Ack=3913 Win=501 Len=1428 TSval=803708 TSecr=69526799"
"12","0.418384343","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","98","[TCP Window Update] 40566  >  443 [ACK] Seq=3913 Ack=1175 Win=915 Len=0 TSval=69527164 TSecr=803360 SLE=2603 SRE=3608"
"13","0.418424083","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","40566  >  443 [ACK] Seq=3913 Ack=3608 Win=938 Len=0 TSval=69527164 TSecr=803708"
"14","2.022767163","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3058","Application Data"
"15","2.025451951","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","195","Application Data"
"16","2.031904914","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=1429 Win=955 Len=0 TSval=2360786559 TSecr=4014252666"
"17","2.031905892","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1 Ack=2973 Win=945 Len=0 TSval=2360786559 TSecr=4014252666"
