"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2603:1026:2400:1::b","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","TLSv1.2","125","Application Data"
"2","0.000104134","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","2603:1026:2400:1::b","TCP","74","57122  >  443 [ACK] Seq=1 Ack=52 Win=501 Len=0"
"3","1.842812669","Fortinet_93:32:4a","IntelCor_85:a6:01","ARP","60","Who has 192.168.166.195? Tell 192.168.167.253"
"4","1.842835647","IntelCor_85:a6:01","Fortinet_93:32:4a","ARP","42","192.168.166.195 is at c0:3c:59:85:a6:01"
"5","1.958318869","IntelCor_85:a6:01","IETF-VRRP-VRID_ff","ARP","42","Who has 192.168.167.254? Tell 192.168.166.195"
"6","1.961213599","IETF-VRRP-VRID_ff","IntelCor_85:a6:01","ARP","60","192.168.167.254 is at 00:00:5e:00:01:ff"
"7","2.505135293","192.168.166.195","130.104.1.2","DNS","84","Standard query 0x561f A www.apple.com OPT"
"8","2.505302355","192.168.166.195","130.104.1.2","DNS","84","Standard query 0x5fa7 AAAA www.apple.com OPT"
"9","2.507175859","192.168.166.195","130.104.1.2","DNS","87","Standard query 0x99e2 A setup.icloud.com OPT"
"10","2.507315542","192.168.166.195","130.104.1.2","DNS","87","Standard query 0x7e63 AAAA setup.icloud.com OPT"
"11","2.509158665","130.104.1.2","192.168.166.195","DNS","240","Standard query response 0x561f A www.apple.com CNAME www.apple.com.edgekey.net CNAME www.apple.com.edgekey.net.globalredir.akadns.net CNAME e6858.dscx.akamaiedge.net A 23.77.164.214 OPT"
"12","2.509160062","130.104.1.2","192.168.166.195","DNS","188","Standard query response 0x99e2 A setup.icloud.com CNAME setup.fe2.apple-dns.net A 17.248.236.69 A 17.248.236.64 A 17.248.236.67 A 17.248.236.68 OPT"
"13","2.509200501","130.104.1.2","192.168.166.195","DNS","280","Standard query response 0x5fa7 AAAA www.apple.com CNAME www.apple.com.edgekey.net CNAME www.apple.com.edgekey.net.globalredir.akadns.net CNAME e6858.dscx.akamaiedge.net AAAA 2a02:26f0:9100:59a::1aca AAAA 2a02:26f0:9100:59c::1aca OPT"
"14","2.511827527","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","2a02:26f0:9100:59a::1aca","TCP","94","34240  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=3212032080 TSecr=0 WS=128"
"15","2.521392351","192.168.166.195","130.104.1.2","DNS","94","Standard query 0xc5f7 A ckdatabasews.icloud.com OPT"
"16","2.521538390","2a02:26f0:9100:59a::1aca","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","TCP","94","443  >  34240 [SYN, ACK] Seq=0 Ack=1 Win=64260 Len=0 MSS=1440 SACK_PERM=1 TSval=3090360000 TSecr=3212032080 WS=128"
"17","2.521585883","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","2a02:26f0:9100:59a::1aca","TCP","86","34240  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=3212032090 TSecr=3090360000"
"18","2.521634423","192.168.166.195","130.104.1.2","DNS","94","Standard query 0xa5d2 AAAA ckdatabasews.icloud.com OPT"
"19","2.521709642","192.168.166.195","130.104.1.2","DNS","94","Standard query 0x557c A cvws.icloud-content.com OPT"
"20","2.521783675","192.168.166.195","130.104.1.2","DNS","94","Standard query 0x5c2a AAAA cvws.icloud-content.com OPT"
"21","2.522087137","192.168.166.195","130.104.1.2","DNS","89","Standard query 0xf919 A gateway.icloud.com OPT"
"22","2.522179887","192.168.166.195","130.104.1.2","DNS","89","Standard query 0x5eaa AAAA gateway.icloud.com OPT"
"23","2.523309716","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","2a02:26f0:9100:59a::1aca","TLSv1.3","603","Client Hello"
"24","2.525343647","2a02:26f0:9100:59a::1aca","2001:6a8:3081:6f06:3a94:8b2c:c377:90c7","TCP","86","443  >  34240 [ACK] Seq=1 Ack=518 Win=1198080 Len=0 TSval=3090360000 TSecr=3212032092"
"25","2.525343647","130.104.1.2","192.168.166.195","DNS","240","Standard query response 0x5eaa AAAA gateway.icloud.com CNAME gateway.fe2.apple-dns.net AAAA 2a01:b740:a41:e80::2:6 AAAA 2a01:b740:a41:e80::2:3 AAAA 2a01:b740:a41:e80::2:1 AAAA 2a01:b740:a41:e80::2:2 OPT"
"26","2.525345044","130.104.1.2","192.168.166.195","DNS","176","Standard query response 0xf919 A gateway.icloud.com CNAME gateway.fe2.apple-dns.net A 17.248.236.68 A 17.248.236.69 A 17.248.236.64 OPT"
