"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1128","Application Data"
"2","0.000044838","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=1 Ack=1043 Win=6453 Len=0 TSval=4014161554 TSecr=2360695355"
"3","0.002307363","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","128","Application Data"
"4","0.006323197","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3052","Application Data"
"5","0.006938014","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","162","Application Data"
"6","0.008724358","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1043 Ack=43 Win=960 Len=0 TSval=2360695447 TSecr=4014161557"
"7","0.014419886","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1043 Ack=1471 Win=955 Len=0 TSval=2360695451 TSecr=4014161561"
"8","0.014420794","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1043 Ack=3009 Win=952 Len=0 TSval=2360695451 TSecr=4014161561"
"9","0.014421772","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1043 Ack=3085 Win=960 Len=0 TSval=2360695452 TSecr=4014161561"
"10","0.412914403","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","961","Application Data"
"11","0.453218986","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=3085 Ack=1918 Win=6453 Len=0 TSval=4014162008 TSecr=2360695752"
"12","5.817827370","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3032","Application Data"
"13","5.820274208","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","4795","Application Data, Application Data"
"14","5.826916302","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2857 Win=2635 Len=0 TSval=1363848369 TSecr=2862043722"
"15","5.826917210","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2947 Win=2635 Len=0 TSval=1363848369 TSecr=2862043722"
"16","5.826918188","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4375 Win=2643 Len=0 TSval=1363848370 TSecr=2862043725"
"17","5.826919585","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","125","Application Data"
"18","5.826920493","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=40 Ack=5803 Win=2643 Len=0 TSval=1363848370 TSecr=2862043725"
"19","5.827296172","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=40 Ack=7656 Win=2639 Len=0 TSval=1363848370 TSecr=2862043725"
"20","5.869238475","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=7656 Ack=40 Win=2307 Len=0 TSval=2862043774 TSecr=1363848370"
"21","6.053484414","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","719","Application Data"
"22","6.053557050","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=7656 Ack=673 Win=2317 Len=0 TSval=2862043958 TSecr=1363848519"
"23","6.056234714","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"24","6.062656597","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=673 Ack=7691 Win=2647 Len=0 TSval=1363848606 TSecr=2862043961"
"25","7.783321468","192.168.166.19","130.104.1.1","DNS","96","Standard query 0xe1a1 A p50-contactsws.icloud.com OPT"
"26","7.783607051","192.168.166.19","130.104.1.1","DNS","96","Standard query 0x8e87 AAAA p50-contactsws.icloud.com OPT"
