"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1163","Application Data"
"2","0.000062509","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TCP","86","41750  >  443 [ACK] Seq=1 Ack=1078 Win=6890 Len=0 TSval=4014363656 TSecr=2360897489"
"3","0.002406679","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","128","Application Data"
"4","0.009354890","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1078 Ack=43 Win=960 Len=0 TSval=2360897550 TSecr=4014363658"
"5","1.132015797","IntelCor_85:a6:01","IETF-VRRP-VRID_ff","ARP","42","Who has 192.168.167.254? Tell 192.168.166.19"
"6","1.134453975","Fortinet_93:32:4a","IntelCor_85:a6:01","ARP","60","Who has 192.168.166.19? Tell 192.168.167.253"
"7","1.134484495","IntelCor_85:a6:01","Fortinet_93:32:4a","ARP","42","192.168.166.19 is at c0:3c:59:85:a6:01"
"8","1.135329232","IETF-VRRP-VRID_ff","IntelCor_85:a6:01","ARP","60","192.168.167.254 is at 00:00:5e:00:01:ff"
"9","3.179784158","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:6","TCP","86","39480  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2262737645 TSecr=4106774647"
"10","3.179845898","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","86","36866  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=69642938 TSecr=479868061"
"11","3.188430782","2a01:b740:a41:e80::2:6","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","[TCP ACKed unseen segment] 443  >  39480 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4106820623 TSecr=2262691746"
"12","3.188430782","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","[TCP ACKed unseen segment] 443  >  36866 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=479914404 TSecr=69596621"
"13","3.715888803","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3037","Application Data"
"14","3.718523445","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","1369","Application Data, Application Data"
"15","3.725318982","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1364048369 TSecr=2862243722"
"16","3.725319959","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2952 Win=2641 Len=0 TSval=1364048369 TSecr=2862243722"
"17","3.725321426","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4235 Win=2643 Len=0 TSval=1364048370 TSecr=2862243724"
"18","3.725322334","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","125","Application Data"
"19","3.768051475","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=4235 Ack=40 Win=2513 Len=0 TSval=2862243774 TSecr=1364048370"
"20","4.073543470","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","676","Application Data"
"21","4.073578321","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=4235 Ack=630 Win=2523 Len=0 TSval=2862244079 TSecr=1364048672"
"22","4.075016922","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"23","4.081483783","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=630 Ack=4270 Win=2647 Len=0 TSval=1364048727 TSecr=2862244081"
"24","5.383081536","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","3053","Application Data"
"25","5.385516012","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:1","TLSv1.2","696","Application Data"
"26","5.392221732","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1078 Ack=1471 Win=955 Len=0 TSval=2360902932 TSecr=4014369039"
"27","5.392222640","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1078 Ack=3010 Win=945 Len=0 TSval=2360902932 TSecr=4014369039"
"28","5.392223548","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  41750 [ACK] Seq=1078 Ack=3620 Win=958 Len=0 TSval=2360902932 TSecr=4014369041"
"29","6.093806385","192.168.166.19","130.104.1.1","DNS","100","Standard query 0xda9d AAAA connectivity-check.ubuntu.com OPT"
"30","6.097805666","130.104.1.1","192.168.166.19","DNS","436","Standard query response 0xda9d AAAA connectivity-check.ubuntu.com AAAA 2001:67c:1562::23 AAAA 2620:2d:4002:1::198 AAAA 2620:2d:4000:1::22 AAAA 2620:2d:4000:1::96 AAAA 2620:2d:4000:1::98 AAAA 2620:2d:4000:1::97 AAAA 2620:2d:4000:1::23 AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4002:1::196 AAAA 2620:2d:4002:1::197 AAAA 2001:67c:1562::24 OPT"
"31","6.099444713","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2001:67c:1562::23","TCP","94","34136  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=3389328687 TSecr=0 WS=128"
"32","6.154555198","2a01:b740:a41:e80::2:1","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","328","[TCP Previous segment not captured] , Ignored Unknown Record"
