"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3033","Application Data"
"2","0.002412964","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","4756","Application Data"
"3","0.008450508","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=1429 Win=2643 Len=0 TSval=1363752369 TSecr=2861947722"
"4","0.008451486","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2857 Win=2643 Len=0 TSval=1363752369 TSecr=2861947722"
"5","0.008452393","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=2948 Win=2647 Len=0 TSval=1363752369 TSecr=2861947722"
"6","0.008807818","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=4376 Win=2643 Len=0 TSval=1363752369 TSecr=2861947725"
"7","0.008809215","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=5804 Win=2643 Len=0 TSval=1363752369 TSecr=2861947725"
"8","0.008810123","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1 Ack=7618 Win=2639 Len=0 TSval=1363752370 TSecr=2861947725"
"9","0.249561288","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","708","Application Data"
"10","0.249562685","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","117","Application Data"
"11","0.249604590","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TCP","86","43038  >  443 [ACK] Seq=7618 Ack=654 Win=2218 Len=0 TSval=2861947972 TSecr=1363752533"
"12","0.251948620","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"13","0.258923301","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=654 Ack=7653 Win=2647 Len=0 TSval=1363752619 TSecr=2861947974"
"14","5.433560746","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","4212","Application Data"
"15","5.436045368","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","196","Application Data"
"16","5.442183344","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=1429 Win=501 Len=0 TSval=629470 TSecr=69352908"
"17","5.442184811","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=2857 Win=501 Len=0 TSval=629470 TSecr=69352908"
"18","5.442185788","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=4127 Win=501 Len=0 TSval=629470 TSecr=69352908"
"19","5.442828612","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  40566 [ACK] Seq=1 Ack=4237 Win=501 Len=0 TSval=629470 TSecr=69352910"
"20","5.783595952","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","1868","Application Data"
"21","5.783597419","2a01:b740:a41:e80::2:5","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","440","[TCP Retransmission] 443  >  40566 [PSH, ACK] Seq=1429 Ack=4237 Win=501 Len=354 TSval=629799 TSecr=69352910"
"22","5.783673477","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TCP","98","40566  >  443 [ACK] Seq=4237 Ack=1783 Win=488 Len=0 TSval=69353258 TSecr=629751 SLE=1429 SRE=1783"
"23","5.798511087","192.168.166.19","130.104.1.1","DNS","93","Standard query 0x922b A cws.icloud-content.com OPT"
"24","5.798662434","192.168.166.19","130.104.1.1","DNS","93","Standard query 0xa0e8 AAAA cws.icloud-content.com OPT"
"25","5.855257546","130.104.1.1","192.168.166.19","DNS","329","Standard query response 0xa0e8 AAAA cws.icloud-content.com CNAME contentws.v.aaplimg.com CNAME ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com CNAME ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com.v.aaplimg.com SOA a.gslb.aaplimg.com OPT"
"26","5.856077418","192.168.166.19","130.104.1.1","DNS","131","Standard query 0x41c0 AAAA ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com.v.aaplimg.com OPT"
"27","5.857961331","130.104.1.1","192.168.166.19","DNS","218","Standard query response 0x41c0 AAAA ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com.v.aaplimg.com SOA a.gslb.aaplimg.com OPT"
"28","5.858884709","130.104.1.1","192.168.166.19","DNS","280","Standard query response 0x922b A cws.icloud-content.com CNAME contentws.v.aaplimg.com CNAME ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com CNAME ddeead2e-210c-4b2d-b7db-27fce9278350.apple.com.v.aaplimg.com A 17.138.224.1 OPT"
"29","5.859654506","192.168.166.19","17.138.224.1","TCP","74","47270  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=648516327 TSecr=0 WS=128"
"30","5.948594890","17.138.224.1","192.168.166.19","TCP","74","443  >  47270 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1424 SACK_PERM=1 TSval=2712318315 TSecr=648516327 WS=512"
"31","5.948682611","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=648516416 TSecr=2712318315"
"32","5.949220742","192.168.166.19","17.138.224.1","TLSv1.3","583","Client Hello"
"33","5.951030413","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=1 Ack=518 Win=1184768 Len=0 TSval=2712318315 TSecr=648516416"
"34","8.001184570","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","3031","Application Data"
"35","8.004347286","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","1800","Application Data"
"36","8.010336080","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=654 Ack=9081 Win=2643 Len=0 TSval=1363760371 TSecr=2861955723"
"37","8.010337477","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=654 Ack=10509 Win=2643 Len=0 TSval=1363760371 TSecr=2861955723"
"38","8.010338455","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=654 Ack=10598 Win=2647 Len=0 TSval=1363760371 TSecr=2861955723"
"39","8.011505861","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=654 Ack=12312 Win=2640 Len=0 TSval=1363760372 TSecr=2861955726"
"40","8.186232713","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TLSv1.2","719","Application Data"
"41","8.189293040","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:2","TLSv1.2","121","Application Data"
"42","8.195841337","2a01:b740:a41:e80::2:2","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","TCP","86","443  >  43038 [ACK] Seq=1287 Ack=12347 Win=2647 Len=0 TSval=1363760556 TSecr=2861955911"
"43","9.126121902","17.138.224.1","192.168.166.19","TLSv1.3","2962","Server Hello, Change Cipher Spec, Application Data"
"44","9.126123299","17.138.224.1","192.168.166.19","TCP","1266","443  >  47270 [PSH, ACK] Seq=2897 Ack=518 Win=67072 Len=1200 TSval=2712321406 TSecr=648516416 [TCP segment of a reassembled PDU]"
"45","9.126124696","17.138.224.1","192.168.166.19","TCP","1514","443  >  47270 [ACK] Seq=4097 Ack=518 Win=67072 Len=1448 TSval=2712321407 TSecr=648516416 [TCP segment of a reassembled PDU]"
"46","9.126199148","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=518 Ack=2897 Win=61440 Len=0 TSval=648519593 TSecr=2712321406"
"47","9.126248316","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=518 Ack=4097 Win=60288 Len=0 TSval=648519593 TSecr=2712321406"
"48","9.126263053","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=518 Ack=5545 Win=58880 Len=0 TSval=648519593 TSecr=2712321407"
"49","9.126334501","17.138.224.1","192.168.166.19","TLSv1.3","1514","Application Data [TCP segment of a reassembled PDU]"
"50","9.126335968","17.138.224.1","192.168.166.19","TLSv1.3","312","Application Data, Application Data"
"51","9.126346095","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=518 Ack=6993 Win=57472 Len=0 TSval=648519593 TSecr=2712321407"
"52","9.126358806","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=518 Ack=7239 Win=57344 Len=0 TSval=648519593 TSecr=2712321407"
"53","9.130566285","192.168.166.19","17.138.224.1","TLSv1.3","146","Change Cipher Spec, Application Data"
"54","9.130901735","192.168.166.19","17.138.224.1","TLSv1.3","164","Application Data"
"55","9.131137242","192.168.166.19","17.138.224.1","TLSv1.3","755","Application Data"
"56","9.218736384","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=7239 Ack=598 Win=67072 Len=0 TSval=2712321586 TSecr=648519598"
"57","9.218797007","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=7239 Ack=696 Win=67072 Len=0 TSval=2712321586 TSecr=648519598"
"58","9.218798403","17.138.224.1","192.168.166.19","TLSv1.3","337","Application Data"
"59","9.219259429","17.138.224.1","192.168.166.19","TLSv1.3","337","Application Data"
"60","9.219260407","17.138.224.1","192.168.166.19","TLSv1.3","137","Application Data"
"61","9.219261804","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=7852 Ack=1385 Win=68096 Len=0 TSval=2712321586 TSecr=648519598"
"62","9.219316141","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=1385 Ack=7852 Win=64128 Len=0 TSval=648519686 TSecr=2712321586"
"63","9.219550390","192.168.166.19","17.138.224.1","TLSv1.3","97","Application Data"
"64","9.226612862","17.138.224.1","192.168.166.19","TLSv1.3","695","Application Data"
"65","9.230549285","192.168.166.19","17.138.224.1","TLSv1.3","620","Application Data"
"66","9.230761605","192.168.166.19","17.138.224.1","TLSv1.3","5819","Application Data"
"67","9.307453344","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=8481 Ack=1416 Win=68096 Len=0 TSval=2712321675 TSecr=648519687"
"68","9.319083400","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=8481 Ack=1970 Win=69632 Len=0 TSval=2712321686 TSecr=648519698"
"69","9.319160435","17.138.224.1","192.168.166.19","TCP","66","443  >  47270 [ACK] Seq=8481 Ack=7723 Win=80896 Len=0 TSval=2712321686 TSecr=648519698"
"70","9.320057274","17.138.224.1","192.168.166.19","TLSv1.3","101","Application Data"
"71","9.367433408","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=7723 Ack=8516 Win=64128 Len=0 TSval=648519835 TSecr=2712321687"
"72","9.543978801","17.138.224.1","192.168.166.19","TLSv1.3","851","Application Data"
"73","9.544047874","192.168.166.19","17.138.224.1","TCP","66","47270  >  443 [ACK] Seq=7723 Ack=9301 Win=63360 Len=0 TSval=648520011 TSecr=2712321901"
"74","9.553001942","2001:6a8:3081:6f06:6929:a50d:93f0:6a7e","2a01:b740:a41:e80::2:5","TLSv1.2","3917","Application Data"
