"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a01:b740:a41:280::2:9","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","SSL","219","Continuation Data"
"2","0.000000907","2a01:b740:a41:280::2:9","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TCP","1514","[TCP Out-Of-Order] 443  >  45594 [ACK] Seq=4294965869 Ack=1 Win=501 Len=1428 TSval=2728502337 TSecr=797731195"
"3","0.000013689","2a01:b740:a41:e80::2:4","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TLSv1.2","1413","Application Data"
"4","0.000023257","2a01:b740:a41:e80::2:4","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TLSv1.2","1408","Application Data"
"5","0.000028914","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","2a01:b740:a41:280::2:9","TCP","98","45594  >  443 [ACK] Seq=1 Ack=4294965869 Win=501 Len=0 TSval=797731441 TSecr=2728502093 SLE=1 SRE=134"
"6","0.000053569","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","2a01:b740:a41:280::2:9","TCP","86","45594  >  443 [ACK] Seq=1 Ack=134 Win=489 Len=0 TSval=797731441 TSecr=2728502337"
"7","0.000070680","2a01:b740:a41:280::2:9","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TCP","641","443  >  45592 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=555 TSval=2977462378 TSecr=797731195 [TCP segment of a reassembled PDU]"
"8","0.000071658","2a01:b740:a41:280::2:9","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TCP","1514","[TCP Out-Of-Order] 443  >  45592 [ACK] Seq=4294965869 Ack=1 Win=501 Len=1428 TSval=2977462378 TSecr=797731195"
"9","0.000072566","2a01:b740:a41:280::2:9","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","TCP","641","[TCP Retransmission] 443  >  45592 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=555 TSval=2977462410 TSecr=797731195"
"10","0.000082134","2001:6a8:3081:6f06:d9e4:1cb9:a410:d1a5","2a01:b740:a41:280::2:9","TCP","98","45592  >  443 [ACK] Seq=1 Ack=4294965869 Win=501 Len=0 TSval=797731441 TSecr=2977462209 SLE=1 SRE=556"
