"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"2","0.000000908","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"3","0.929472121","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Request)"
"4","0.929473029","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Request)"
"5","1.023756407","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"6","1.023759759","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"7","1.023763111","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"8","1.023766324","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"9","1.023769676","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"10","1.023772540","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"11","1.737920593","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Request)"
"12","1.748480183","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Request)"
"13","1.748482068","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"14","1.748483046","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"15","1.748484513","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"16","1.748485490","Cisco_74:bd:55","Broadcast","ARP","60","Gratuitous ARP for 0.0.0.0 (Reply)"
"17","2.047462984","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"18","2.047463892","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"19","3.080643625","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"20","3.080644603","42:12:ae:b4:8f:f3","IPv4mcast_fb","TDLS","63","TDLS Discovery Request, Dialog Token=18[Malformed Packet]"
"21","3.250853502","192.168.166.195","130.104.1.1","DNS","95","Standard query 0x56f5 A detectportal.firefox.com OPT"
"22","3.250954279","192.168.166.195","130.104.1.1","DNS","95","Standard query 0xf5ca AAAA detectportal.firefox.com OPT"
